customer_id,first_name,last_name,email,phone_number,date_of_birth,address,city,state,postal_code,country
1,eZQRoY,SZptkX,ezqroy.szptkx@example.com,864-172-4224,8/13/1974,3996 EnBtGvfk St,Philadelphia,PA,20937,USA
2,jAcawPlgo,ScxIJJidM,jacawplgo.scxijjidm@example.com,268-511-8748,6/24/1965,4951 EBkvpRlpH St,Houston,TX,53553,Canada
3,weZTbl,CrhcsO,weztbl.crhcso@mail.com,847-177-2575,9/23/1976,4285 UJSQLpLOe St,Los Angeles,CA,14863,Canada
4,lpQbnYt,DDusEQes,lpqbnyt.dduseqes@test.com,398-463-6194,9/7/1970,5273 pbbOoTPDv St,Philadelphia,PA,96115,Mexico
5,OpKtIOoO,vdGhuvLFVo,opktiooo.vdghuvlfvo@mail.com,992-191-3840,6/27/1980,9759 ZMsJwUxMa St,Philadelphia,TX,44162,Canada
6,Vanda,uTeOgZSorl,vddswuhwwk.uteogzsorl@example.com,920-980-1533,12/1/1982,9141 WNVJTepz St,Philadelphia,PA,32443,USA
7,ppaGRUZFR,wmrxoMa,ppagruzfr.wmrxoma@test.com,955-897-9185,1/7/1971,7194 qKBqM St,New York,PA,97278,USA
8,IexrlB,hbwlZLDLuL,iexrlb.hbwlzldlul@mail.com,633-116-5585,9/3/1967,9393 OdsionAg St,Phoenix,AZ,52533,Mexico
9,HLLtutNyGh,LIzSN,hlltutnygh.lizsn@mail.com,532-262-4914,5/27/2000,8714 hyGBSxEg St,New York,NY,80369,Mexico
10,tcBiMIN,pKVKaj,tcbimin.pkvkaj@example.com,725-403-3356,4/9/1971,5688 mrBhA St,New York,NY,44362,Canada
11,Senghong,pKVKaj,tcbimin.pkvkaj@example.com,725-403-3356,4/9/1971,5688 mrBhA St,New York,NY,44362,Canada
